iter	Passed	Remaining
446	1151	1424
447	1154	1422
448	1157	1420
449	1159	1417
450	1161	1414
451	1163	1410
452	1165	1407
453	1167	1403
454	1168	1400
455	1170	1396
456	1172	1393
457	1174	1389
458	1175	1385
459	1177	1381
460	1178	1377
461	1179	1373
462	1180	1369
463	1182	1365
464	1183	1361
465	1185	1358
466	1186	1354
467	1187	1350
468	1188	1345
469	1189	1341
470	1190	1337
471	1191	1333
472	1193	1329
473	1194	1325
474	1203	1329
475	1207	1329
476	1211	1328
477	1214	1326
478	1216	1323
479	1219	1320
480	1221	1317
481	1223	1314
482	1225	1311
483	1227	1308
484	1229	1306
485	1231	1302
486	1233	1299
487	1234	1295
488	1236	1291
489	1237	1288
490	1238	1284
491	1240	1280
492	1241	1277
493	1243	1273
494	1244	1269
495	1245	1265
496	1247	1262
497	1248	1258
498	1249	1254
499	1250	1250
500	1251	1246
501	1252	1242
502	1253	1238
503	1254	1234
504	1255	1230
505	1256	1227
506	1265	1230
507	1270	1230
508	1275	1230
509	1278	1228
510	1281	1225
511	1283	1223
512	1285	1220
513	1288	1218
514	1290	1215
515	1292	1211
516	1293	1208
517	1295	1205
518	1297	1202
519	1298	1198
520	1299	1195
521	1301	1191
522	1303	1188
523	1304	1185
524	1305	1181
525	1306	1177
526	1308	1173
527	1309	1170
528	1310	1166
529	1311	1163
530	1313	1159
531	1314	1156
532	1315	1152
533	1316	1148
534	1317	1144
535	1318	1141
536	1319	1137
537	1320	1134
538	1321	1130
539	1330	1133
540	1335	1132
541	1339	1132
542	1343	1130
543	1346	1128
544	1348	1126
545	1351	1123
546	1353	1120
547	1355	1118
548	1357	1115
549	1359	1112
550	1361	1109
551	1362	1106
552	1364	1102
553	1365	1099
554	1367	1096
555	1369	1093
556	1370	1089
557	1371	1086
558	1372	1082
559	1373	1079
560	1374	1075
561	1375	1072
562	1377	1068
563	1378	1065
564	1379	1061
565	1380	1058
566	1381	1054
567	1387	1055
568	1393	1055
569	1397	1053
570	1401	1052
571	1403	1050
572	1405	1047
573	1408	1045
574	1410	1042
575	1412	1039
576	1414	1036
577	1415	1033
578	1417	1030
579	1418	1027
580	1420	1024
581	1421	1021
582	1423	1017
583	1424	1014
584	1425	1011
585	1427	1008
586	1429	1005
587	1430	1002
588	1431	998
589	1432	995
590	1433	992
591	1435	989
592	1436	985
593	1437	982
594	1438	978
595	1439	975
596	1440	972
597	1450	975
598	1455	974
599	1458	972
600	1461	970
601	1464	968
602	1466	965
603	1468	963
604	1471	960
605	1473	957
606	1474	954
607	1476	951
608	1478	949
609	1479	946
610	1481	942
611	1482	939
612	1483	936
613	1485	933
614	1487	931
615	1488	928
616	1489	924
617	1491	921
618	1492	918
619	1493	915
620	1494	912
621	1495	909
622	1497	905
623	1498	902
624	1504	902
625	1510	902
626	1513	900
627	1516	898
628	1519	896
629	1522	893
630	1524	891
631	1526	888
632	1528	886
633	1531	883
634	1532	881
635	1535	878
636	1538	876
637	1541	874
638	1544	872
639	1545	869
640	1546	866
641	1548	863
642	1549	860
643	1550	857
644	1552	854
645	1561	855
646	1565	854
647	1568	852
648	1571	850
649	1575	848
650	1577	845
651	1579	843
652	1581	840
653	1583	837
654	1584	834
655	1586	832
656	1589	829
657	1590	826
658	1592	823
659	1593	820
660	1595	818
661	1596	815
662	1597	812
663	1599	809
664	1600	806
665	1602	803
666	1603	800
667	1604	797
668	1605	794
669	1608	792
670	1616	792
671	1622	791
672	1625	789
673	1628	787
674	1631	785
675	1633	783
676	1636	780
677	1638	778
678	1640	775
679	1641	772
680	1643	769
681	1645	767
682	1647	764
683	1648	761
684	1650	758
685	1651	755
686	1652	753
687	1653	750
688	1655	747
689	1656	744
690	1657	741
691	1658	738
692	1660	735
693	1667	735
694	1673	734
695	1677	732
696	1680	730
697	1684	728
698	1686	726
699	1688	723
700	1697	724
701	1699	721
702	1702	719
703	1705	717
704	1709	715
705	1711	712
706	1712	709
707	1714	707
708	1716	704
709	1717	701
710	1720	699
711	1722	696
712	1724	694
713	1726	691
714	1728	688
715	1730	686
716	1731	683
717	1733	680
718	1737	678
719	1738	676
720	1740	673
721	1742	670
722	1743	668
723	1745	665
724	1746	662
725	1748	659
726	1750	657
727	1752	654
728	1753	651
729	1754	648
730	1755	646
731	1756	643
732	1757	640
733	1758	637
734	1759	634
735	1760	631
736	1761	628
737	1777	631
738	1778	628
739	1784	627
740	1791	626
741	1794	624
742	1798	622
743	1801	619
744	1803	617
745	1805	614
746	1808	612
747	1810	609
748	1812	607
749	1814	604
750	1815	602
751	1817	599
752	1818	596
753	1819	593
754	1821	590
755	1822	588
756	1823	585
757	1825	582
758	1826	580
759	1827	577
760	1828	574
761	1830	571
762	1831	568
763	1832	566
764	1833	563
765	1834	560
766	1835	557
767	1836	554
768	1837	551
769	1838	549
770	1843	547
771	1849	546
772	1854	544
773	1857	542
774	1860	540
775	1863	537
776	1865	535
777	1867	532
778	1869	530
779	1872	528
780	1873	525
781	1875	522
782	1877	520
783	1879	517
784	1880	515
785	1882	512
786	1884	509
787	1885	507
788	1887	504
789	1888	501
790	1889	499
791	1890	496
792	1891	493
793	1893	491
794	1894	488
795	1895	485
796	1896	483
797	1897	480
798	1904	479
799	1910	477
800	1912	475
801	1916	473
802	1918	470
803	1921	468
804	1923	465
805	1925	463
806	1927	461
807	1929	458
808	1931	455
809	1932	453
810	1934	450
811	1935	448
812	1937	445
813	1938	442
814	1939	440
815	1941	437
816	1942	435
817	1944	432
818	1945	429
819	1946	427
820	1947	424
821	1949	422
822	1950	419
823	1951	416
824	1952	414
825	1953	411
826	1954	408
827	1955	406
828	1962	404
829	1966	402
830	1970	400
831	1973	398
832	1975	396
833	1978	393
834	1980	391
835	1982	388
836	1984	386
837	1985	383
838	1987	381
839	1989	378
840	1991	376
841	1992	373
842	1994	371
843	1995	368
844	1996	366
845	1997	363
846	1999	361
847	2000	358
848	2001	356
849	2002	353
850	2004	350
851	2005	348
852	2006	345
853	2007	343
854	2008	340
855	2009	338
856	2010	335
857	2011	332
858	2012	330
859	2020	328
860	2026	327
861	2030	325
862	2033	322
863	2036	320
864	2038	318
865	2040	315
866	2043	313
867	2045	311
868	2047	308
869	2049	306
870	2051	303
871	2052	301
872	2054	298
873	2055	296
874	2057	293
875	2058	291
876	2060	288
877	2061	286
878	2062	283
879	2064	281
880	2065	278
881	2066	276
882	2067	273
883	2068	271
884	2069	268
885	2070	266
886	2071	263
887	2072	261
888	2081	259
889	2085	257
890	2088	255
891	2091	253
892	2093	250
893	2095	248
894	2097	246
895	2099	243
896	2101	241
897	2103	238
898	2105	236
899	2107	234
900	2108	231
901	2110	229
902	2111	226
903	2113	224
904	2114	221
905	2115	219
906	2117	217
907	2118	214
908	2119	212
909	2121	209
910	2122	207
911	2123	204
912	2124	202
913	2125	199
914	2126	197
915	2127	195
916	2128	192
917	2130	190
918	2130	187
919	2135	185
920	2142	183
921	2147	181
922	2151	179
923	2153	177
924	2156	174
925	2158	172
926	2161	170
927	2163	167
928	2165	165
929	2167	163
930	2169	160
931	2170	158
932	2172	155
933	2173	153
934	2175	151
935	2176	148
936	2178	146
937	2179	144
938	2180	141
939	2182	139
940	2183	136
941	2184	134
942	2185	132
943	2186	129
944	2187	127
945	2188	124
946	2189	122
947	2195	120
948	2201	118
949	2205	116
950	2208	113
951	2211	111
952	2213	109
953	2215	106
954	2217	104
955	2220	102
956	2222	99
957	2224	97
958	2225	95
959	2227	92
960	2228	90
961	2229	88
962	2230	85
963	2232	83
964	2233	81
965	2235	78
966	2236	76
967	2237	73
968	2238	71
969	2240	69
970	2241	66
971	2242	64
972	2243	62
973	2244	59
974	2245	57
975	2246	55
976	2247	52
977	2253	50
978	2259	48
979	2262	46
980	2266	43
981	2268	41
982	2270	39
983	2272	36
984	2274	34
985	2276	32
986	2277	30
987	2280	27
988	2282	25
989	2283	23
990	2284	20
991	2286	18
992	2287	16
993	2288	13
994	2290	11
995	2291	9
996	2292	6
997	2299	4
998	2305	2
999	2309	0
